id,age_group,gender,self_pref_roast,A_pref,B_pref,C_pref,D_pref,fav_sample
5dq7jb,35-44 years old,Male,Light,4.0,4.0,2.0,4.0,Coffee D
1r2ePM,35-44 years old,Male,Light,4.0,2.0,2.0,5.0,Coffee D
1r2e7b,35-44 years old,Female,Nordic,4.0,3.0,3.0,4.0,Coffee B
ZdR71z,25-34 years old,Male,Light,4.0,2.0,1.0,3.0,Coffee C
LdMrWJ,35-44 years old,Male,Medium,4.0,4.0,3.0,4.0,Coffee D
6dQlOJ,25-34 years old,Female,Medium,3.0,4.0,3.0,2.0,Coffee B
KMBEyk,25-34 years old,Female,Medium,4.0,1.0,3.0,4.0,Coffee A
bl4pNL,18-24 years old,Male,Dark,4.0,1.0,2.0,4.0,Coffee D
xdNq0r,25-34 years old,,Medium,3.0,2.0,2.0,4.0,Coffee D
eBxJYO,55-64 years old,,Dark,3.0,5.0,2.0,1.0,Coffee B
VZ162J,45-54 years old,Female,Dark,5.0,4.0,1.0,3.0,Coffee A
rlr4p5,35-44 years old,Male,Light,5.0,2.0,3.0,5.0,Coffee D
6dQl1k,25-34 years old,Male,Medium,3.0,3.0,4.0,5.0,Coffee D
aBrLk9,25-34 years old,,Light,5.0,2.0,4.0,3.0,Coffee A
jB9R0a,35-44 years old,Male,Medium,2.0,5.0,4.0,3.0,Coffee B
5dq786,25-34 years old,Male,Light,1.0,2.0,5.0,4.0,Coffee C
zKQ92a,>65 years old,,Medium,5.0,3.0,4.0,4.0,Coffee A
42N6zO,45-54 years old,Male,Medium,4.0,2.0,4.0,5.0,Coffee D
1r2erg,18-24 years old,Male,Dark,2.0,5.0,4.0,1.0,Coffee B
LdMrq2,35-44 years old,Male,Nordic,3.0,2.0,1.0,2.0,Coffee A
MAd4VX,25-34 years old,Male,Dark,3.0,4.0,4.0,2.0,Coffee B
42N69k,25-34 years old,Male,Medium,4.0,4.0,3.0,5.0,Coffee D
PABxYe,25-34 years old,Male,Light,4.0,2.0,3.0,5.0,Coffee D
GrBGy2,25-34 years old,Female,Medium,3.0,2.0,3.0,4.0,Coffee D
EPbRb4,35-44 years old,Male,Dark,2.0,5.0,4.0,1.0,Coffee B
ZdR7ya,25-34 years old,Male,Medium,5.0,2.0,1.0,4.0,Coffee A
bl4Jbo,25-34 years old,Female,Medium,4.0,4.0,3.0,5.0,Coffee D
lNlG96,18-24 years old,Male,Light,3.0,4.0,3.0,5.0,Coffee D
ZdR7ga,35-44 years old,Female,Medium,2.0,4.0,4.0,1.0,Coffee C
xdNWOy,35-44 years old,Female,Dark,1.0,3.0,4.0,4.0,Coffee C
42N6Ro,25-34 years old,Male,Light,5.0,3.0,2.0,4.0,Coffee A
zKQ9BZ,35-44 years old,Male,Light,3.0,1.0,2.0,4.0,Coffee D
5dq7GE,25-34 years old,Male,Light,4.0,2.0,2.0,5.0,Coffee D
g5NlDN,55-64 years old,Female,Medium,2.0,4.0,2.0,2.0,Coffee B
42N6Do,25-34 years old,Male,Light,3.0,4.0,4.0,1.0,Coffee D
WApWXL,55-64 years old,Male,Medium,3.0,2.0,3.0,1.0,Coffee A
AlbgaB,25-34 years old,Male,Light,4.0,2.0,3.0,5.0,Coffee D
xdNqlo,35-44 years old,Male,Medium,4.0,3.0,2.0,5.0,Coffee D
KMBE2z,18-24 years old,Male,Light,4.0,1.0,2.0,5.0,Coffee D
5dq7xv,25-34 years old,Male,Light,4.0,2.0,3.0,5.0,Coffee D
QABZZY,35-44 years old,Male,Light,2.0,2.0,2.0,3.0,Coffee D
MAdx0p,25-34 years old,Male,Light,3.0,3.0,4.0,5.0,Coffee D
WApWgP,25-34 years old,Male,Light,5.0,1.0,2.0,3.0,Coffee A
eBxJ8J,25-34 years old,Male,Light,4.0,2.0,3.0,5.0,Coffee D
42N6Ob,35-44 years old,Male,Light,4.0,2.0,3.0,4.0,Coffee B
WApWkQ,55-64 years old,Female,Medium,4.0,5.0,2.0,2.0,Coffee B
KMBEEg,18-24 years old,Male,Light,3.0,3.0,4.0,5.0,Coffee D
6dQldA,18-24 years old,Non-binary,Light,4.0,4.0,2.0,3.0,Coffee B
rlr40N,25-34 years old,Male,Light,3.0,2.0,4.0,5.0,Coffee D
DVv8QN,55-64 years old,,Medium,4.0,3.0,3.0,1.0,Coffee A
WApW6L,35-44 years old,Female,Light,3.0,2.0,2.0,2.0,Coffee A
g5NlBD,35-44 years old,Male,Medium,4.0,3.0,2.0,4.0,Coffee D
QABZOp,35-44 years old,Female,Medium,4.0,3.0,5.0,2.0,Coffee C
KMBEgk,25-34 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee D
VZ1eAl,45-54 years old,Male,Medium,2.0,4.0,1.0,2.0,Coffee B
YZz62W,35-44 years old,Female,Dark,3.0,4.0,3.0,1.0,Coffee B
OAB2Yg,55-64 years old,Female,Medium,2.0,3.0,4.0,5.0,Coffee D
8dpBBl,35-44 years old,Male,Light,4.0,2.0,2.0,4.0,Coffee A
VZ1e6j,25-34 years old,Non-binary,Light,3.0,4.0,3.0,5.0,Coffee D
WApWWe,35-44 years old,Male,Medium,4.0,2.0,3.0,3.0,Coffee A
rlr4e2,35-44 years old,Male,Dark,2.0,4.0,3.0,2.0,Coffee B
6dQlqY,25-34 years old,Female,Light,1.0,4.0,3.0,1.0,Coffee B
8dpB2A,25-34 years old,Female,Medium,2.0,4.0,5.0,1.0,Coffee C
NABj2p,25-34 years old,Male,Medium,5.0,2.0,3.0,5.0,Coffee D
oAVPaM,25-34 years old,Male,Nordic,4.0,1.0,2.0,5.0,Coffee D
DVv89p,35-44 years old,Male,Light,4.0,2.0,4.0,5.0,Coffee D
jB9RLJ,25-34 years old,Male,Light,3.0,4.0,3.0,2.0,Coffee B
rlrZXl,25-34 years old,,Medium,3.0,2.0,4.0,5.0,Coffee D
XeBbpg,25-34 years old,Male,Light,5.0,2.0,3.0,4.0,Coffee A
ZdR7e0,25-34 years old,Male,Medium,4.0,2.0,3.0,4.0,Coffee D
WApWQJ,18-24 years old,Male,Medium,3.0,3.0,3.0,3.0,Coffee C
XeBaWz,25-34 years old,Male,Light,2.0,4.0,4.0,2.0,Coffee B
xdNqzG,25-34 years old,,Medium,3.0,2.0,5.0,4.0,Coffee C
WApWxv,35-44 years old,Female,Light,2.0,4.0,2.0,5.0,Coffee D
AlbgoD,18-24 years old,Male,Medium,3.0,4.0,2.0,2.0,Coffee D
dY2MBK,18-24 years old,Male,Medium,2.0,1.0,4.0,5.0,Coffee D
aBrROv,45-54 years old,,Dark,3.0,2.0,4.0,4.0,Coffee D
jB9jDa,25-34 years old,Male,Light,4.0,2.0,3.0,4.0,Coffee D
jB9RO4,25-34 years old,Male,Medium,3.0,5.0,4.0,1.0,Coffee B
EPbRj4,25-34 years old,Female,Light,4.0,1.0,3.0,5.0,Coffee D
8dpX1O,25-34 years old,Male,Medium,5.0,3.0,4.0,1.0,Coffee A
OAB6l8,25-34 years old,Female,Medium,2.0,5.0,4.0,1.0,Coffee B
J2kPNR,25-34 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee C
ylqBN4,25-34 years old,Male,Blonde,4.0,4.0,5.0,1.0,Coffee C
LdMrQp,35-44 years old,Female,Medium,2.0,4.0,5.0,2.0,Coffee C
42N6WX,35-44 years old,Male,Medium,4.0,5.0,4.0,2.0,Coffee B
RzBAWd,45-54 years old,Male,Light,2.0,3.0,3.0,5.0,Coffee D
oAVq21,25-34 years old,Female,Medium,4.0,3.0,4.0,2.0,Coffee A
BGbyPK,55-64 years old,Male,Light,4.0,3.0,3.0,2.0,Coffee A
OAB648,25-34 years old,Male,Dark,4.0,3.0,3.0,5.0,Coffee D
KMB9Q8,45-54 years old,Male,Light,4.0,2.0,3.0,4.0,Coffee A
rlr4zR,25-34 years old,Female,Dark,4.0,3.0,4.0,5.0,Coffee D
5dq7WE,55-64 years old,Male,Medium,3.0,3.0,4.0,1.0,Coffee C
eBxV50,35-44 years old,Female,Medium,5.0,2.0,2.0,1.0,Coffee A
vNxlyd,25-34 years old,Male,Light,2.0,4.0,2.0,5.0,Coffee D
LdMePG,25-34 years old,Male,Light,4.0,4.0,3.0,5.0,Coffee D
EPbRyr,35-44 years old,Male,Medium,4.0,5.0,2.0,4.0,Coffee B
vNxZ70,25-34 years old,Male,Dark,4.0,3.0,3.0,1.0,Coffee A
9dJ8D1,25-34 years old,Male,Medium,5.0,3.0,3.0,4.0,Coffee A
WApLzP,25-34 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee D
NABaJp,25-34 years old,,Medium,2.0,5.0,3.0,2.0,Coffee B
9dJ8Np,35-44 years old,Female,Dark,2.0,1.0,4.0,5.0,Coffee C
AlbEzk,18-24 years old,Male,Light,3.0,1.0,4.0,5.0,Coffee D
MAdWKM,25-34 years old,Non-binary,French,1.0,4.0,5.0,3.0,Coffee C
EPb2PL,25-34 years old,Male,Light,4.0,2.0,3.0,5.0,Coffee D
xdNAp9,35-44 years old,Male,Light,3.0,5.0,3.0,4.0,Coffee B
5dqJKo,25-34 years old,Male,Light,3.0,5.0,4.0,4.0,Coffee B
rlrejl,35-44 years old,Male,Medium,3.0,5.0,4.0,4.0,Coffee B
7d9yRP,25-34 years old,Male,Light,5.0,2.0,3.0,4.0,Coffee A
rlre6L,45-54 years old,Male,Dark,3.0,3.0,5.0,4.0,Coffee C
DVvjzj,18-24 years old,Female,Light,1.0,2.0,4.0,3.0,Coffee C
dY2Oqo,25-34 years old,Male,Medium,3.0,3.0,4.0,5.0,Coffee C
AlbE6y,25-34 years old,Male,Light,3.0,5.0,3.0,5.0,Coffee D
pLPQP1,35-44 years old,,Medium,3.0,1.0,3.0,2.0,Coffee A
J2kQlJ,18-24 years old,Male,Medium,3.0,5.0,2.0,4.0,Coffee B
EPb20A,25-34 years old,Male,Light,4.0,3.0,3.0,5.0,Coffee D
BGbrD1,25-34 years old,Female,Dark,2.0,2.0,4.0,3.0,Coffee C
RzBABK,45-54 years old,Male,Dark,4.0,5.0,4.0,3.0,Coffee B
oAVqB5,25-34 years old,Male,Light,4.0,2.0,1.0,5.0,Coffee D
ylqB9p,45-54 years old,Female,Dark,2.0,3.0,4.0,1.0,Coffee D
xdNAQE,45-54 years old,Male,Light,4.0,3.0,4.0,5.0,Coffee D
1r2LM4,25-34 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee D
rlredX,25-34 years old,Female,Light,3.0,5.0,4.0,3.0,Coffee B
vNxlql,25-34 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee D
XeBplg,25-34 years old,Female,Medium,5.0,3.0,4.0,5.0,Coffee A
EPb2do,25-34 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee D
24xW0D,45-54 years old,Male,Medium,3.0,2.0,4.0,4.0,Coffee C
oAVqvP,35-44 years old,,Light,4.0,1.0,2.0,5.0,Coffee D
J2kQMR,45-54 years old,Female,Dark,5.0,2.0,4.0,1.0,Coffee A
lNlxDk,25-34 years old,Male,Medium,3.0,5.0,4.0,2.0,Coffee B
ylqBx6,45-54 years old,Female,Medium,3.0,4.0,5.0,1.0,Coffee C
GrBZqL,25-34 years old,Male,Dark,1.0,3.0,4.0,2.0,Coffee C
lNlxzk,>65 years old,Male,Dark,3.0,3.0,4.0,2.0,Coffee C
ZdRMve,25-34 years old,Male,Light,4.0,1.0,2.0,5.0,Coffee D
jB9jga,25-34 years old,Male,Light,3.0,1.0,3.0,5.0,Coffee D
aBrRzB,18-24 years old,Male,Medium,4.0,2.0,2.0,3.0,Coffee A
oAVq0b,25-34 years old,Female,Medium,2.0,5.0,1.0,3.0,Coffee B
XeBpQg,25-34 years old,Male,Medium,5.0,2.0,4.0,3.0,Coffee A
pLPQ48,25-34 years old,Prefer not to say,Medium,3.0,5.0,4.0,1.0,Coffee B
oAVqaV,25-34 years old,,Light,,3.0,1.0,5.0,Coffee D
6dQgAY,25-34 years old,Male,Light,5.0,4.0,4.0,1.0,Coffee A
xdNAoy,25-34 years old,Female,Light,4.0,1.0,1.0,5.0,Coffee D
ylqBoX,35-44 years old,Female,Light,4.0,3.0,2.0,1.0,Coffee A
eBxV8q,25-34 years old,Non-binary,Light,2.0,2.0,3.0,4.0,Coffee D
oAVqa1,18-24 years old,Female,Medium,3.0,5.0,4.0,2.0,Coffee C
24xpyV,25-34 years old,,Medium,2.0,3.0,4.0,1.0,Coffee C
0EjKGN,25-34 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee D
1r2LyW,>65 years old,Male,Light,3.0,3.0,3.0,4.0,Coffee D
NABavG,25-34 years old,Male,Medium,2.0,2.0,5.0,4.0,Coffee C
oAVq6P,45-54 years old,Non-binary,Dark,3.0,2.0,4.0,1.0,Coffee C
YZz1bq,25-34 years old,Prefer not to say,Medium,1.0,3.0,5.0,3.0,Coffee C
EPb2gX,45-54 years old,Female,Light,3.0,4.0,2.0,2.0,Coffee C
PAB78B,>65 years old,Female,Medium,2.0,3.0,4.0,3.0,Coffee C
8dpX8r,35-44 years old,Male,Light,4.0,2.0,4.0,5.0,Coffee D
WApLda,35-44 years old,Female,Light,4.0,3.0,4.0,5.0,Coffee D
0EjKy6,35-44 years old,Male,Light,4.0,4.0,4.0,5.0,Coffee D
YZz1A0,45-54 years old,Male,Medium,4.0,4.0,3.0,1.0,Coffee A
xdNA59,25-34 years old,Male,Dark,4.0,3.0,3.0,1.0,Coffee D
dY2Ooz,35-44 years old,Male,Light,2.0,2.0,3.0,4.0,Coffee D
NABaRj,25-34 years old,Male,Light,2.0,3.0,4.0,4.0,Coffee D
QABbZl,>65 years old,Female,Light,3.0,4.0,2.0,1.0,Coffee B
5dqJoM,25-34 years old,Female,Light,4.0,5.0,5.0,3.0,Coffee C
rlreXp,45-54 years old,Male,Light,4.0,3.0,5.0,4.0,Coffee C
8dpXYA,35-44 years old,Male,Medium,2.0,4.0,2.0,1.0,Coffee B
KMB9AM,25-34 years old,Male,Light,3.0,4.0,5.0,4.0,Coffee C
WApLLL,25-34 years old,Male,Medium,2.0,4.0,5.0,3.0,Coffee C
AlbEVy,35-44 years old,Female,Light,1.0,2.0,3.0,5.0,Coffee D
vNxl7g,25-34 years old,Male,Nordic,5.0,1.0,3.0,4.0,Coffee A
GrBZNe,25-34 years old,Male,Light,4.0,4.0,2.0,5.0,Coffee D
YZz18v,45-54 years old,Male,Medium,2.0,3.0,4.0,3.0,Coffee C
7d9yy6,45-54 years old,Female,Dark,5.0,5.0,5.0,4.0,Coffee A
ylqB1g,35-44 years old,Male,Medium,3.0,5.0,3.0,5.0,Coffee B
PAB7M1,>65 years old,Female,Medium,3.0,2.0,2.0,1.0,Coffee A
zKQVxM,35-44 years old,Male,Light,3.0,2.0,1.0,5.0,Coffee D
lNlx8p,35-44 years old,Male,Light,4.0,3.0,2.0,4.0,Coffee C
5dqNjo,25-34 years old,Male,Light,4.0,2.0,3.0,5.0,Coffee D
jB9j11,25-34 years old,Male,Light,2.0,3.0,4.0,5.0,Coffee D
5dqJYM,35-44 years old,Male,Light,4.0,2.0,1.0,5.0,Coffee D
kYR2Dr,25-34 years old,Male,Dark,3.0,5.0,3.0,4.0,Coffee B
zKQV7a,35-44 years old,Female,Medium,5.0,1.0,4.0,3.0,Coffee A
8dp9Nz,25-34 years old,Female,Dark,5.0,3.0,4.0,2.0,Coffee A
vNxlRX,18-24 years old,Male,Light,4.0,4.0,3.0,5.0,Coffee D
9dJe7p,25-34 years old,Male,Light,4.0,4.0,3.0,5.0,Coffee D
VZ1Kkj,35-44 years old,Male,Medium,2.0,4.0,4.0,5.0,Coffee D
WAp48j,35-44 years old,Male,Light,2.0,1.0,5.0,2.0,Coffee C
MAdWMA,25-34 years old,Male,Light,5.0,3.0,2.0,5.0,Coffee D
xdNGXv,25-34 years old,,Medium,,1.0,5.0,,Coffee C
PABo6b,35-44 years old,Male,Medium,3.0,2.0,1.0,4.0,Coffee D
OAB6OM,25-34 years old,Prefer not to say,Light,,1.0,2.0,5.0,Coffee D
kYR2Ld,25-34 years old,Female,Light,5.0,3.0,1.0,4.0,Coffee A
0Ej4MZ,25-34 years old,Male,Light,5.0,3.0,3.0,3.0,Coffee A
BGbvpQ,35-44 years old,Male,Light,2.0,3.0,4.0,5.0,Coffee D
8dp9L5,25-34 years old,Male,Medium,3.0,4.0,4.0,4.0,Coffee B
EPbpKr,25-34 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee D
MAd0AX,35-44 years old,Male,Light,5.0,4.0,3.0,4.0,Coffee C
DVvLzq,25-34 years old,Male,Medium,3.0,5.0,3.0,5.0,Coffee B
XeBjEd,35-44 years old,Male,Light,3.0,2.0,4.0,5.0,Coffee D
OABRPK,35-44 years old,,Medium,3.0,4.0,2.0,3.0,Coffee B
qbEyL9,25-34 years old,Female,Blonde,3.0,5.0,4.0,1.0,Coffee B
AlbkDW,25-34 years old,Male,Medium,5.0,4.0,3.0,2.0,Coffee A
bl4axo,25-34 years old,Male,Medium,1.0,4.0,3.0,2.0,Coffee B
DVvLV5,25-34 years old,Male,Medium,4.0,2.0,1.0,5.0,Coffee D
8dp9jk,25-34 years old,Female,Light,4.0,1.0,2.0,2.0,Coffee A
24x2LA,25-34 years old,Male,Medium,3.0,5.0,4.0,2.0,Coffee B
GrBM1j,18-24 years old,Female,Light,5.0,4.0,3.0,2.0,Coffee A
1r2L1g,25-34 years old,Non-binary,Light,2.0,3.0,5.0,1.0,Coffee C
9dJelG,>65 years old,Male,Dark,3.0,3.0,2.0,1.0,Coffee B
xdNG0E,35-44 years old,Male,Light,3.0,5.0,4.0,1.0,Coffee B
24x2vA,35-44 years old,Male,Medium,3.0,3.0,4.0,3.0,Coffee C
LdM8M2,55-64 years old,Female,Dark,5.0,4.0,3.0,1.0,Coffee A
MAd0Ml,35-44 years old,,Medium,5.0,4.0,3.0,1.0,Coffee A
jB9KW6,25-34 years old,Male,Medium,2.0,5.0,4.0,2.0,Coffee B
NABz8N,45-54 years old,Male,Light,5.0,2.0,4.0,2.0,Coffee D
bl4aL2,25-34 years old,Female,Medium,2.0,3.0,5.0,3.0,Coffee C
J2ky8z,45-54 years old,Male,Nordic,4.0,2.0,1.0,4.0,Coffee A
ZdRxV0,18-24 years old,Male,Light,2.0,3.0,4.0,1.0,Coffee C
PABo0Q,45-54 years old,Male,Medium,5.0,4.0,2.0,1.0,Coffee A
g5NBYM,35-44 years old,,Medium,3.0,5.0,4.0,1.0,Coffee B
0Ej4lB,55-64 years old,Male,Dark,3.0,3.0,3.0,2.0,Coffee C
QABGxl,55-64 years old,Male,Medium,2.0,4.0,3.0,5.0,Coffee D
24x2DM,25-34 years old,Non-binary,Light,3.0,3.0,4.0,5.0,Coffee D
MAd0qA,25-34 years old,Male,Medium,4.0,4.0,2.0,5.0,Coffee D
ZdRxgB,25-34 years old,Male,Light,4.0,3.0,3.0,5.0,Coffee D
lNlp2B,25-34 years old,Female,Light,4.0,2.0,3.0,1.0,Coffee A
RzBOa9,>65 years old,Male,Light,3.0,3.0,3.0,5.0,Coffee D
GrBMjZ,45-54 years old,Female,Light,4.0,3.0,3.0,1.0,Coffee A
YZz2Ad,35-44 years old,Female,Medium,5.0,3.0,3.0,2.0,Coffee A
dY274o,25-34 years old,Male,Medium,2.0,5.0,4.0,1.0,Coffee B
PABoP1,35-44 years old,,Medium,5.0,2.0,3.0,4.0,Coffee A
GrBMEp,25-34 years old,Male,Light,3.0,1.0,1.0,5.0,Coffee D
NABz2Q,18-24 years old,Male,Nordic,2.0,1.0,1.0,2.0,Coffee D
g5NB6d,25-34 years old,Male,Dark,2.0,4.0,3.0,1.0,Coffee B
aBrWJv,25-34 years old,Male,Light,3.0,4.0,5.0,2.0,Coffee C
42NZA5,45-54 years old,Male,Light,4.0,3.0,3.0,5.0,Coffee D
RzBOyJ,35-44 years old,Male,Light,4.0,2.0,1.0,4.0,Coffee A
lNlp8B,>65 years old,Male,Light,4.0,2.0,2.0,1.0,Coffee A
EPbp2o,45-54 years old,Female,Medium,4.0,3.0,4.0,3.0,Coffee C
VZ1rGy,35-44 years old,Female,Medium,2.0,3.0,3.0,1.0,Coffee C
kYRqad,45-54 years old,Male,Light,4.0,2.0,2.0,5.0,Coffee D
0Ej4X0,35-44 years old,Male,Medium,2.0,2.0,5.0,1.0,Coffee C
eBxbko,35-44 years old,Male,Light,5.0,3.0,2.0,5.0,Coffee D
bl4P96,25-34 years old,Male,Light,5.0,3.0,3.0,4.0,Coffee A
MAd0WY,35-44 years old,Male,Light,4.0,4.0,2.0,5.0,Coffee D
9dJe8G,25-34 years old,Male,Medium,1.0,2.0,3.0,4.0,Coffee D
vNxkjX,>65 years old,Male,Medium,3.0,2.0,4.0,1.0,Coffee C
VZ1rXg,25-34 years old,Non-binary,Light,5.0,4.0,2.0,3.0,Coffee A
zKQVV8,35-44 years old,Male,Light,4.0,4.0,1.0,3.0,Coffee B
QABGgl,25-34 years old,Male,Dark,4.0,5.0,2.0,4.0,Coffee C
EPb9ll,18-24 years old,Female,Medium,3.0,4.0,5.0,1.0,Coffee C
24x26V,45-54 years old,Male,Light,4.0,4.0,2.0,5.0,Coffee D
AlbZBe,25-34 years old,Male,Light,3.0,2.0,3.0,5.0,Coffee B
ylqLXd,45-54 years old,Female,Medium,1.0,4.0,2.0,3.0,Coffee B
qbEyyd,35-44 years old,Male,Light,3.0,4.0,3.0,1.0,Coffee B
KMBbM8,35-44 years old,Female,Light,1.0,3.0,5.0,1.0,Coffee C
9dJVXE,<18 years old,Male,Light,5.0,2.0,4.0,4.0,Coffee A
zKQl7M,>65 years old,Female,Medium,4.0,2.0,2.0,1.0,Coffee A
pLParP,25-34 years old,Male,Medium,4.0,4.0,3.0,1.0,Coffee B
VZ1g0g,18-24 years old,Female,Light,3.0,1.0,3.0,5.0,Coffee D
GrBW9e,55-64 years old,Female,Dark,5.0,5.0,5.0,1.0,Coffee B
aBrWpq,25-34 years old,Male,Light,3.0,3.0,2.0,5.0,Coffee D
8dpOeO,45-54 years old,,Dark,5.0,5.0,2.0,4.0,Coffee B
5dqRxZ,25-34 years old,Male,Medium,5.0,4.0,3.0,2.0,Coffee A
jB9Ne1,25-34 years old,Male,Light,3.0,3.0,4.0,5.0,Coffee D
KMBbo8,>65 years old,Female,Dark,4.0,2.0,4.0,3.0,Coffee C
DVvQKl,25-34 years old,Male,Medium,1.0,5.0,4.0,3.0,Coffee B
dY2rYo,25-34 years old,Male,Light,1.0,4.0,3.0,5.0,Coffee D
24x2Jb,18-24 years old,Other (please specify),Light,1.0,4.0,2.0,5.0,Coffee D
KMBbkK,18-24 years old,,Medium,2.0,4.0,3.0,3.0,Coffee B
ylqL9x,>65 years old,Male,Medium,3.0,4.0,4.0,2.0,Coffee B
BGbNGQ,25-34 years old,Male,Light,2.0,3.0,3.0,5.0,Coffee D
g5N2AO,>65 years old,Female,Dark,5.0,3.0,5.0,3.0,Coffee C
eBx4zJ,25-34 years old,Female,Light,5.0,3.0,1.0,4.0,Coffee A
eBx4lx,55-64 years old,,Dark,2.0,3.0,2.0,4.0,Coffee D
VZ1gxN,35-44 years old,Male,Light,3.0,2.0,4.0,5.0,Coffee B
EPb9Y2,25-34 years old,Male,Light,4.0,3.0,3.0,5.0,Coffee D
XeBX9e,>65 years old,Female,Dark,2.0,4.0,3.0,5.0,Coffee D
oAVWQN,35-44 years old,Male,Medium,2.0,4.0,5.0,1.0,Coffee C
6dQoVo,25-34 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee D
vNxkK8,>65 years old,Male,Medium,3.0,3.0,3.0,3.0,Coffee A
NABzGb,18-24 years old,Male,Medium,5.0,2.0,3.0,4.0,Coffee B
EPb9El,25-34 years old,Female,Dark,3.0,3.0,4.0,5.0,Coffee D
pLPgv1,25-34 years old,Male,Dark,3.0,4.0,3.0,1.0,Coffee B
24x2lM,25-34 years old,Female,Dark,4.0,2.0,5.0,2.0,Coffee C
OABRKR,25-34 years old,Male,Medium,4.0,4.0,2.0,4.0,Coffee D
24xpWb,18-24 years old,Male,Medium,1.0,4.0,4.0,3.0,Coffee B
lNlxeW,25-34 years old,Male,Medium,4.0,3.0,3.0,5.0,Coffee D
OAB6ER,35-44 years old,Male,Medium,2.0,4.0,5.0,2.0,Coffee C
DVvQbX,>65 years old,Male,Dark,4.0,4.0,3.0,1.0,Coffee B
jB9jR9,25-34 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee D
KMBbAX,25-34 years old,Non-binary,Light,2.0,1.0,2.0,5.0,Coffee D
rlr7bo,25-34 years old,Female,Dark,2.0,3.0,1.0,4.0,Coffee D
J2k7jK,>65 years old,Male,Italian,4.0,3.0,2.0,1.0,Coffee A
ZdR0bB,25-34 years old,Male,Dark,2.0,5.0,4.0,1.0,Coffee B
bl4P1Z,45-54 years old,Male,Medium,1.0,3.0,2.0,4.0,Coffee D
bl4Pag,35-44 years old,Male,Medium,2.0,3.0,4.0,1.0,Coffee C
1r28gg,25-34 years old,Male,Light,5.0,3.0,2.0,5.0,Coffee D
BGbNr5,25-34 years old,Male,Medium,2.0,4.0,4.0,3.0,Coffee C
42NeXb,35-44 years old,Male,Blonde,3.0,4.0,4.0,2.0,Coffee C
GrBWAZ,55-64 years old,Female,Medium,3.0,4.0,3.0,5.0,Coffee D
xdNKWr,25-34 years old,Female,Light,4.0,3.0,2.0,5.0,Coffee D
9dJVkQ,45-54 years old,Male,Light,4.0,3.0,5.0,1.0,Coffee C
OABvZY,55-64 years old,Male,Medium,3.0,2.0,3.0,4.0,Coffee D
42NeJo,18-24 years old,Male,Light,2.0,3.0,1.0,5.0,Coffee D
ylqV46,25-34 years old,Male,Light,3.0,2.0,3.0,4.0,Coffee D
pLP8oy,25-34 years old,Male,Light,3.0,2.0,4.0,5.0,Coffee D
5dqW9v,18-24 years old,Male,Light,3.0,4.0,4.0,1.0,Coffee C
ylqVl8,18-24 years old,Male,Medium,3.0,2.0,5.0,1.0,Coffee C
0EjNE9,25-34 years old,Female,Medium,4.0,5.0,5.0,2.0,Coffee B
kYRMEZ,35-44 years old,Male,Blonde,3.0,3.0,4.0,2.0,Coffee C
8dp7Zk,25-34 years old,Male,Light,4.0,3.0,2.0,5.0,Coffee D
WApxEL,25-34 years old,Male,Medium,2.0,4.0,3.0,1.0,Coffee B
EPbyLB,25-34 years old,Male,Light,5.0,3.0,2.0,4.0,Coffee A
xdNOZv,45-54 years old,Male,Light,2.0,3.0,4.0,1.0,Coffee C
24x02L,25-34 years old,Male,Light,5.0,1.0,1.0,4.0,Coffee A
WApxeN,35-44 years old,Male,Medium,4.0,3.0,3.0,5.0,Coffee D
J2k5Vo,35-44 years old,Male,Medium,2.0,4.0,5.0,2.0,Coffee C
VZ129g,25-34 years old,Male,Light,4.0,3.0,4.0,4.0,Coffee A
NABGBl,25-34 years old,Female,Dark,3.0,4.0,3.0,2.0,Coffee B
VZ12oJ,25-34 years old,Male,Dark,2.0,5.0,3.0,1.0,Coffee B
J2k5Md,25-34 years old,Female,Medium,2.0,3.0,5.0,4.0,Coffee C
EPbyvX,25-34 years old,Female,Medium,2.0,5.0,4.0,4.0,Coffee B
VZ12yl,>65 years old,,Medium,1.0,2.0,4.0,5.0,Coffee D
oAVXgX,25-34 years old,Male,Medium,4.0,2.0,1.0,5.0,Coffee C
qbE0ek,25-34 years old,Male,Light,3.0,1.0,4.0,5.0,Coffee D
g5NKXM,35-44 years old,Male,Medium,4.0,4.0,2.0,4.0,Coffee A
24xQRp,25-34 years old,Male,Dark,3.0,2.0,5.0,4.0,Coffee C
xdNO19,25-34 years old,Female,Light,5.0,3.0,2.0,4.0,Coffee A
zKQPLq,25-34 years old,Male,Light,3.0,2.0,1.0,4.0,Coffee D
vNxoVX,35-44 years old,Male,Light,4.0,5.0,3.0,1.0,Coffee B
